"Sitecode","Name","veg_surveys"
"B01","Ainsdale",0
"B46","Braunton_Burrows",0
"B02","Bure_Marshes",0
"B03","Burnham_Beeches",0
"B30","Chippenham_Fen",0
"B31","Chobham_Common",0
"B50","Cross_Fell",0
"B41","Dark_Peak",0
"B09","Derbyshire_Dales",0
"B32","Dersingham_Bog",0
"B33","Downton_Gorge",0
"B29","East_Dartmoor",0
"B47","Ennerdale",0
"B34","Epping_Forest",0
"B10","Fenns_Whixall",0
"B11","Finglandrigg",0
"B12","Ingleborough",0
"B35","Kielderhead",0
"B13","Lindisfarne",0
"B36","Lower_Derwent_Valley",0
"B37","Ludham_and_Potter_Heigham_Marshes",0
"B14","Lullington",0
"B38","Malham_Tarn",0
"B15","Martin_Down",0
"B48","May_Moss",0
"B16","Monks_Wood",0
"B43","Mottey_Meadows",0
"B18","North_Solent",0
"B42","North_Walney",0
"B20","Old_Winchester_Hill",0
"B49","Roudsea_Wood_and_Mosses",0
"B39","Saltfleetby",0
"B25","Stiperstones",0
"B40","The_Lizard",0
"B26","Thursley",0
"B45","Woodwalton_Fen",0
"B44","Wyre_Forest",0
